article_id,source_id,source_item_key,source_entry_id,case_ids,title,canonical_url,language,published_date,content_type,discovery_status,selection_status,rights_review_id,rights_status,capture_status,boundary_status,pipeline_status,current_stage,last_run_id,machine_review_status,human_review_status,assigned_to,last_checked_at,notes
SRC0024-ART000252,SRC0024,卷下:生存感應類:夢得聰辯,ENT000260,,夢得聰辯,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:夢得聰辯:526b1fc9c98c,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000253,SRC0024,卷下:生存感應類:冤對捨離,ENT000261,,冤對捨離,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:冤對捨離:3ba557399f07,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000254,SRC0024,卷下:生存感應類:夫婦見佛,ENT000262,,夫婦見佛,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:夫婦見佛:983304533ecc,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000255,SRC0024,卷下:生存感應類:却鬼不現,ENT000263,,却鬼不現,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:却鬼不現:8e6fe6426bf7,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000256,SRC0024,卷下:生存感應類:薦拔亡靈,ENT000264,,薦拔亡靈,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:薦拔亡靈:c272bbe63892,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000257,SRC0024,卷下:生存感應類:睡寢得安,ENT000265,,睡寢得安,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:睡寢得安:f1074f5289c5,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000258,SRC0024,卷下:生存感應類:病目重明,ENT000266,,病目重明,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:病目重明:7426f5bcf663,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000259,SRC0024,卷下:生存感應類:瘧疾不作,ENT000267,,瘧疾不作,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:瘧疾不作:a5350570f5b5,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000260,SRC0024,卷下:生存感應類:舍利迸現,ENT000268,,舍利迸現,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:舍利迸現:2c00d1cb542a,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000261,SRC0024,卷下:生存感應類:治病皆愈,ENT000269,,治病皆愈,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:治病皆愈:0f1d9858d231,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000262,SRC0024,卷下:生存感應類:俘囚脫難,ENT000270,,俘囚脫難,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:俘囚脫難:1dfff177c75e,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
SRC0024-ART000263,SRC0024,卷下:生存感應類:總論,ENT000271,,總論,https://cbetaonline.dila.edu.tw/zh/T51n2072#SRC0024:卷下:生存感應類:總論:617e236a7a58,zh-Hant,,book_entry,discovered,unreviewed,RR0006,open_license_verified,verified,script_extracted,not_started,,,not_reviewed,not_reviewed,,2026-09-25,
